RACE_HISP,SEX,YEAR,births
9,1,2033,921327
9,1,2034,913821
9,1,2035,906783
9,1,2036,900139
9,1,2037,893864
9,1,2038,887981
9,1,2039,882506
9,1,2040,877401
9,1,2041,872627
9,1,2042,868180
9,1,2043,864016
9,1,2044,860032
9,1,2045,856130
9,1,2046,852224
9,1,2047,848231
9,1,2048,844084
9,1,2049,839716
9,1,2050,835079
9,1,2051,830147
9,1,2052,824901
9,1,2053,819343
9,1,2054,813495
9,1,2055,807374
9,1,2056,801021
9,1,2057,794493
9,1,2058,787847
9,1,2059,781133
9,1,2060,774409
9,2,2014,982036
9,2,2015,982244
9,2,2016,982017
9,2,2017,981243
9,2,2018,979690
9,2,2019,977322
9,2,2020,973942
9,2,2021,969268
9,2,2022,963499
9,2,2023,956948
9,2,2024,949828
9,2,2025,942259
9,2,2026,934219
9,2,2027,925709
9,2,2028,916899
9,2,2029,908038
9,2,2030,899260
9,2,2031,890692
9,2,2032,882505
9,2,2033,874838
9,2,2034,867712
9,2,2035,861029
9,2,2036,854719
9,2,2037,848762
9,2,2038,843175
9,2,2039,837977
9,2,2040,833129
9,2,2041,828595
9,2,2042,824373
9,2,2043,820419
9,2,2044,816636
9,2,2045,812932
9,2,2046,809223
9,2,2047,805431
9,2,2048,801492
9,2,2049,797346
9,2,2050,792943
9,2,2051,788260
9,2,2052,783277
9,2,2053,778000
9,2,2054,772448
9,2,2055,766635
9,2,2056,760603
9,2,2057,754405
9,2,2058,748093
9,2,2059,741719
9,2,2060,735333
